,melanoma_TMB,melanoma_TNB,melanoma_NPB,melanoma_NP-LandscapeSum,melanoma_NP-LandscapeCCF,melanoma_NP-LandscapeClone,NSCLC_TMB,NSCLC_TNB,NSCLC_NPB,NSCLC_NP-LandscapeSum,NSCLC_NP-LandscapeCCF,NSCLC_NP-LandscapeClone
1.0,14.76,6.0,4.76,0.0161060248142106,-1.1791131966151702,-0.6158190988758346,34.88,21.47,14.88,0.5212833993682544,-0.23125587563697964,-0.4608391154920154
2.0,19.640000000000004,11.040000000000001,6.5200000000000005,0.1504199655120653,-0.4904764310601466,-0.4367174738846734,39.82,25.880000000000003,20.82,0.6986487163432262,-0.10707330826876088,-0.051220148485025804
3.0,33.839999999999996,20.56,8.0,0.21859987073797446,-0.39977811163083987,-0.2592815777314071,62.82,42.0,25.41,0.7673352713927022,-0.017412776440355646,0.06477299587049568
4.0,42.0,26.04,15.0,0.5479390090103081,-0.23314525680177411,-0.20307948117277624,66.76,43.0,29.64,0.8115790649266615,0.050563188722483735,0.20604448133738978
5.0,44.8,28.6,18.200000000000003,0.6121099242272058,-0.03712626672198629,0.029663322186298635,69.7,45.0,30.35,0.8384921941550222,0.13403700910744257,0.23316232912459478
6.0,51.67999999999999,32.56,20.0,0.654636079596311,0.18461943397003067,0.13110736140012802,74.46000000000001,47.82,31.82,0.8820104948553555,0.1696486051702662,0.3037317706952427
7.0,56.6,34.32,21.0,0.6849445848545498,0.3794750853643339,0.2325276688174261,76.29,50.16000000000001,34.580000000000005,0.917354959800326,0.23419491102582538,0.41388597919838477
8.0,62.08,40.08,22.080000000000002,0.7191572112546568,0.41182838970137314,0.3285832358727146,80.28,54.0,37.0,0.9345784549602844,0.28457881863462114,0.6073998979777104
9.0,63.0,42.0,23.0,0.7586841667556008,0.46431052554161684,0.45687286786531106,86.0,54.46,38.0,0.9540861890835137,0.36062235815723814,0.7065345095781573
10.0,65.6,46.2,27.0,0.8072851993420572,0.47618691565658294,0.5863626367448571,91.7,57.400000000000006,40.400000000000006,0.9676675588733158,0.4023711322306604,0.8084620283836973
11.0,72.08,49.36,28.36,0.8335264499881997,0.5066848659633197,0.6584898776693552,95.0,61.510000000000005,42.34,0.9905652224159668,0.4369481766977748,0.9166797196716986
12.0,84.35999999999999,54.239999999999995,30.0,0.8446451404795843,0.5298091035447993,0.7065469169421952,98.2,64.64,44.64,1.010702871527076,0.4570818246031211,0.9597968716586052
13.0,87.88,56.88,31.0,0.8749885052343362,0.5462172086277826,0.7584119236964111,100.0,67.11,46.0,1.0164965635778302,0.4778289022980556,1.0169007465058577
14.0,92.28,59.64,33.28,0.9074568153871347,0.5755641954586325,0.835499956897358,105.0,69.16000000000001,47.0,1.0458296890172312,0.5036700805903707,1.0496156524999531
15.0,97.4,61.4,35.4,0.9168542813243745,0.5811923086164931,0.9914470212948564,109.05,72.1,48.05,1.0599093496012093,0.5383435472386552,1.1097780980598808
16.0,102.48000000000002,72.16,38.160000000000004,0.9378945419403314,0.5988317165174081,1.0719625355303697,112.52000000000001,74.52000000000001,49.52,1.0624009605879188,0.573756446809952,1.1403102353876364
17.0,107.92,74.84,39.92,0.962987965307719,0.6279580148514116,1.1345612336282833,113.99000000000001,75.99000000000001,50.0,1.0668593643782611,0.6008373174899421,1.208351890504528
18.0,113.36,77.0,41.0,0.9752701287400388,0.6834748208994494,1.2084407349880901,117.0,78.0,52.0,1.08436036688901,0.6055074028655755,1.2562715835900982
19.0,128.44,81.88,48.879999999999995,1.0389990327342942,0.7323482120984459,1.2692004645577375,119.0,79.0,52.93,1.112385948468748,0.6165119517217753,1.3090028726272653
20.0,132.0,85.2,51.0,1.0694060988944278,0.7520945367178761,1.351277815451152,123.4,81.0,55.80000000000001,1.1267464338082867,0.6322647465088328,1.3428488075304077
21.0,134.92000000000002,90.92,52.96,1.1079768124102973,0.772323697344747,1.3966124560079387,126.74,83.0,59.60999999999999,1.146375817422596,0.6572815311912913,1.3995642537651363
22.0,138.0,94.0,55.0,1.1168443470935194,0.8248610719466724,1.4418701302736938,128.68,86.68,61.68000000000001,1.1563581774094933,0.6638138708213799,1.4309736989577961
23.0,142.88000000000002,95.0,56.480000000000004,1.1398217171441007,0.841615871770693,1.4983522336892594,133.0,89.81,63.81,1.1742449974427214,0.6793740107673413,1.4472557546925486
