,melanoma_TMB,melanoma_TNB,melanoma_NPB,melanoma_NP-LandscapeSum,melanoma_NP-LandscapeCCF,melanoma_NP-LandscapeClone,NSCLC_TMB,NSCLC_TNB,NSCLC_NPB,NSCLC_NP-LandscapeSum,NSCLC_NP-LandscapeCCF,NSCLC_NP-LandscapeClone
1.0,43.36,6.0,4.76,1.0568930361171358,0.06626647909981717,0.2432684480988961,92.94,21.47,14.88,3.389998120585581,0.594407463427453,0.34688624710805754
2.0,58.0,11.040000000000001,6.5200000000000005,1.4193269788165543,0.3248934429172644,0.36587311433703795,137.44,25.880000000000003,20.82,5.0003877450147005,0.781754375264993,0.8925459885142786
3.0,89.39999999999999,20.56,8.0,1.6542651906513917,0.3988003921695922,0.5510299693332794,162.69,42.0,25.41,5.862375149828115,0.9607037659163647,1.1614133676704088
4.0,97.24000000000001,26.04,15.0,3.531996318914349,0.5846144486273442,0.6299326345380867,179.8,43.0,29.64,6.480079822464826,1.1240044816744892,1.6102175869339428
5.0,113.60000000000001,28.6,18.200000000000003,4.094650838324441,0.9306706616528412,1.0710193277860207,194.20000000000002,45.0,30.35,6.901979120635297,1.3631947319314277,1.711223175118325
6.0,130.6,32.56,20.0,4.514789187134885,1.53456250374102,1.3652785164021517,207.64,47.82,31.82,7.621496110675203,1.4779131346627865,2.0136537814217332
7.0,146.32,34.32,21.0,4.841134167821836,2.3969944079354586,1.7081847273465443,218.0,50.16000000000001,34.580000000000005,8.267138603561666,1.7148882050265215,2.6060384494421602
8.0,150.08,40.08,22.080000000000002,5.238424461750185,2.581384206014569,2.132491200763311,234.0,54.0,37.0,8.60221849078704,1.925662797100973,4.067012404697266
9.0,163.88,42.0,23.0,5.737371956585081,2.913205353687042,2.867273472292282,248.69,54.46,38.0,8.996876963307097,2.2961505170026046,5.087871414882844
10.0,198.6,46.2,27.0,6.416377750977698,2.9936687430234605,3.8581916992724286,261.1,57.400000000000006,40.400000000000006,9.282611230705799,2.5257121126462314,6.469787085550597
11.0,204.72,49.36,28.36,6.816112367181629,3.2127536932233554,4.557706059828615,269.0,61.510000000000005,42.34,9.785995934915308,2.734946600331116,8.254535823669185
12.0,208.12,54.239999999999995,30.0,6.9936167038915125,3.386962142961397,5.088419499848369,281.12,64.64,44.64,10.249523778704198,2.8654457443198837,9.115978566450417
13.0,232.96000000000004,56.88,31.0,7.498870953437864,3.5173649136918246,5.733960288671977,290.11,67.11,46.0,10.388353109083777,3.0053075584506628,10.397543984554096
